# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Case number: 71
# Instellation (S_earth): 1.15
# XCO2 (ppm): 280.0
# Obliquity (degrees): 30.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   293.39 0.2250 0.2250   250.48 0.2500
 -77.83   296.19 0.2250 0.2250   256.07 0.2500
 -72.76   298.01 0.2250 0.2250   259.73 0.2500
 -68.84   299.66 0.2250 0.2250   263.02 0.2500
 -65.52   301.22 0.2250 0.2250   266.14 0.2500
 -62.58   302.73 0.2250 0.2250   269.17 0.2500
 -59.90   304.21 0.2250 0.2250   272.11 0.2500
 -57.43   305.65 0.2250 0.2250   275.00 0.2500
 -55.11   307.05 0.2250 0.2250   277.81 0.2500
 -52.92   308.42 0.2250 0.2250   280.54 0.2500
 -50.83   309.75 0.2250 0.2250   283.19 0.2500
 -48.83   311.03 0.2250 0.2250   285.77 0.2500
 -46.91   312.28 0.2250 0.2250   288.26 0.2500
 -45.06   313.48 0.2250 0.2250   290.66 0.2500
 -43.27   314.64 0.2250 0.2250   292.98 0.2500
 -41.52   315.76 0.2250 0.2250   295.22 0.2500
 -39.83   316.84 0.2250 0.2250   297.37 0.2500
 -38.17   317.87 0.2250 0.2250   299.44 0.2500
 -36.55   318.87 0.2250 0.2250   301.43 0.2500
 -34.96   319.82 0.2250 0.2250   303.34 0.2500
 -33.41   320.73 0.2250 0.2250   305.16 0.2500
 -31.88   321.60 0.2250 0.2250   306.91 0.2500
 -30.37   322.44 0.2250 0.2250   308.57 0.2500
 -28.89   323.23 0.2250 0.2250   310.16 0.2500
 -27.43   323.98 0.2250 0.2250   311.67 0.2500
 -25.99   324.70 0.2250 0.2250   313.10 0.2500
 -24.57   325.38 0.2250 0.2250   314.46 0.2500
 -23.16   326.02 0.2250 0.2250   315.74 0.2500
 -21.76   326.62 0.2250 0.2250   316.94 0.2500
 -20.38   327.19 0.2250 0.2250   318.08 0.2500
 -19.02   327.72 0.2250 0.2250   319.13 0.2500
 -17.66   328.21 0.2250 0.2250   320.12 0.2500
 -16.31   328.67 0.2250 0.2250   321.03 0.2500
 -14.98   329.09 0.2250 0.2250   321.87 0.2500
 -13.65   329.47 0.2250 0.2250   322.64 0.2500
 -12.33   329.82 0.2250 0.2250   323.34 0.2500
 -11.01   330.13 0.2250 0.2250   323.96 0.2500
  -9.70   330.41 0.2250 0.2250   324.52 0.2500
  -8.40   330.65 0.2250 0.2250   325.01 0.2500
  -7.10   330.86 0.2250 0.2250   325.42 0.2500
  -5.80   331.04 0.2250 0.2250   325.77 0.2500
  -4.51   331.17 0.2250 0.2250   326.05 0.2500
  -3.22   331.28 0.2250 0.2250   326.25 0.2500
  -1.93   331.35 0.2250 0.2250   326.39 0.2500
  -0.64   331.38 0.2250 0.2250   326.46 0.2500
   0.64   331.38 0.2250 0.2250   326.46 0.2500
   1.93   331.35 0.2250 0.2250   326.39 0.2500
   3.22   331.28 0.2250 0.2250   326.25 0.2500
   4.51   331.17 0.2250 0.2250   326.05 0.2500
   5.80   331.04 0.2250 0.2250   325.77 0.2500
   7.10   330.86 0.2250 0.2250   325.42 0.2500
   8.40   330.65 0.2250 0.2250   325.01 0.2500
   9.70   330.41 0.2250 0.2250   324.52 0.2500
  11.01   330.13 0.2250 0.2250   323.96 0.2500
  12.33   329.82 0.2250 0.2250   323.34 0.2500
  13.65   329.47 0.2250 0.2250   322.64 0.2500
  14.98   329.09 0.2250 0.2250   321.87 0.2500
  16.31   328.67 0.2250 0.2250   321.03 0.2500
  17.66   328.21 0.2250 0.2250   320.12 0.2500
  19.02   327.72 0.2250 0.2250   319.13 0.2500
  20.38   327.19 0.2250 0.2250   318.08 0.2500
  21.76   326.62 0.2250 0.2250   316.94 0.2500
  23.16   326.02 0.2250 0.2250   315.74 0.2500
  24.57   325.38 0.2250 0.2250   314.46 0.2500
  25.99   324.70 0.2250 0.2250   313.10 0.2500
  27.43   323.98 0.2250 0.2250   311.67 0.2500
  28.89   323.23 0.2250 0.2250   310.16 0.2500
  30.37   322.44 0.2250 0.2250   308.57 0.2500
  31.88   321.60 0.2250 0.2250   306.91 0.2500
  33.41   320.73 0.2250 0.2250   305.16 0.2500
  34.96   319.82 0.2250 0.2250   303.34 0.2500
  36.55   318.87 0.2250 0.2250   301.43 0.2500
  38.17   317.87 0.2250 0.2250   299.44 0.2500
  39.83   316.84 0.2250 0.2250   297.37 0.2500
  41.52   315.76 0.2250 0.2250   295.22 0.2500
  43.27   314.64 0.2250 0.2250   292.98 0.2500
  45.06   313.48 0.2250 0.2250   290.66 0.2500
  46.91   312.28 0.2250 0.2250   288.26 0.2500
  48.83   311.03 0.2250 0.2250   285.77 0.2500
  50.83   309.75 0.2250 0.2250   283.19 0.2500
  52.92   308.42 0.2250 0.2250   280.54 0.2500
  55.11   307.05 0.2250 0.2250   277.81 0.2500
  57.43   305.65 0.2250 0.2250   275.00 0.2500
  59.90   304.21 0.2250 0.2250   272.11 0.2500
  62.58   302.73 0.2250 0.2250   269.17 0.2500
  65.52   301.22 0.2250 0.2250   266.14 0.2500
  68.84   299.66 0.2250 0.2250   263.02 0.2500
  72.76   298.01 0.2250 0.2250   259.73 0.2500
  77.83   296.19 0.2250 0.2250   256.07 0.2500
  90.00   293.39 0.2250 0.2250   250.48 0.2500
