# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.306122448979592 0.0 280.0 338.22970134820656 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 340.1594026964133
1 1.2695893671890497 0.0 280.0 333.4724225978921 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.6448451957842
2 1.2345679012345678 0.0 280.0 328.9120822089519 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 321.524164417904
3 1.2009757928316758 0.0 280.0 324.5377896438416 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 312.77557928768323
4 1.168736303871439 0.0 280.0 320.33964517364564 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 304.3792903472913
5 1.1377777777777778 0.0 280.0 316.30823584002553 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 296.3164716800511
6 1.10803324099723 0.0 280.0 312.4350354998787 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 288.57007099975755
7 1.0794400404790014 0.0 280.0 308.71165079002526 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 281.1233015800506
8 1.0519395134779752 0.0 280.0 305.1305972605273 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 273.9611945210547
9 1.0254766864284568 0.0 280.0 301.6855399415443 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 267.0710798830886
10 1.0 0.0 280.0 297.98753546921694 90.0 77.83045665700186 90.0 77.83045665700186 -77.83045665700186 -90.0 -77.83045665700186 -90.0 0.5 259.6750709384339
11 0.9754610577655846 0.0 280.0 294.279522240131 90.0 72.75700252390558 90.0 72.75700252390558 -72.75700252390558 -90.0 -72.75700252390558 -90.0 0.5 252.25904448026193
12 0.9518143961927424 0.0 280.0 290.60182635891874 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 244.9036527178375
13 0.9290172739149366 0.0 280.0 286.2017997158179 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 236.10359943163587
14 0.9070294784580498 0.0 280.0 281.70520758542 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 227.1104151708401
15 0.8858131487889274 0.0 280.0 277.17024318691506 90.0 52.916044072005526 90.0 52.916044072005526 -52.916044072005526 -90.0 -52.916044072005526 -90.0 0.5 218.04048637383022
16 0.8653326122228233 0.0 280.0 270.46461502743585 90.0 45.06148396663785 90.0 45.06148396663785 -45.06148396663785 -90.0 -45.06148396663785 -90.0 0.5 204.6292300548718
17 0.8455542343770645 0.0 280.0 224.97935593357127 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.6587118671426
18 0.8264462809917354 0.0 280.0 223.6951620680091 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.09032413601821
19 1.306122448979592 10.0 280.0 338.82590377203763 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 341.3518075440753
20 1.2695893671890497 10.0 280.0 334.05203740023825 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 331.8040748004764
21 1.2345679012345678 10.0 280.0 329.475620649164 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 322.65124129832805
22 1.2009757928316758 10.0 280.0 325.085992439098 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 313.8719848781961
23 1.168736303871439 10.0 280.0 320.8731294119118 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 305.4462588238236
24 1.1377777777777778 10.0 280.0 316.8276736694515 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 297.355347338903
25 1.10803324099723 10.0 280.0 312.94080070857285 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 289.5816014171458
26 1.0794400404790014 10.0 280.0 309.2044382422969 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 282.1088764845938
