# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Case number: 162
# Instellation (S_earth): 1.0
# XCO2 (ppm): 280.0
# Obliquity (degrees): 80.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   315.31 0.2250 0.2250   294.33 0.2500
 -77.83   314.02 0.2250 0.2250   291.73 0.2500
 -72.76   313.03 0.2250 0.2250   289.76 0.2500
 -68.84   312.11 0.2250 0.2250   287.91 0.2500
 -65.52   311.21 0.2250 0.2250   286.13 0.2500
 -62.58   310.35 0.2250 0.2250   284.40 0.2500
 -59.90   309.51 0.2250 0.2250   282.72 0.2500
 -57.43   308.70 0.2250 0.2250   281.09 0.2500
 -55.11   307.91 0.2250 0.2250   279.52 0.2500
 -52.92   307.14 0.2250 0.2250   277.98 0.2500
 -50.83   306.39 0.2250 0.2250   276.48 0.2500
 -48.83   305.66 0.2250 0.2250   275.01 0.2500
 -46.91   304.94 0.2250 0.2250   273.57 0.2500
 -45.06   304.23 0.2250 0.2250   272.16 0.2500
 -43.27   303.54 0.2250 0.2250   270.78 0.2500
 -41.52   302.86 0.2250 0.2250   269.43 0.2500
 -39.83   302.20 0.2250 0.2250   268.11 0.2500
 -38.17   301.56 0.2250 0.2250   266.81 0.2500
 -36.55   300.93 0.2250 0.2250   265.55 0.2500
 -34.96   300.31 0.2250 0.2250   264.33 0.2500
 -33.41   299.72 0.2250 0.2250   263.14 0.2500
 -31.88   299.15 0.2250 0.2250   261.99 0.2500
 -30.37   298.59 0.2250 0.2250   260.88 0.2500
 -28.89   298.06 0.2250 0.2250   259.82 0.2500
 -27.43   297.55 0.2250 0.2250   258.80 0.2500
 -25.99   297.06 0.2250 0.2250   257.82 0.2500
 -24.57   296.60 0.2250 0.2250   256.89 0.2500
 -23.16   296.15 0.2250 0.2250   256.01 0.2500
 -21.76   295.73 0.2250 0.2250   255.16 0.2500
 -20.38   295.33 0.2250 0.2250   254.36 0.2500
 -19.02   294.95 0.2250 0.2250   253.61 0.2500
 -17.66   294.60 0.2250 0.2250   252.90 0.2500
 -16.31   294.27 0.2250 0.2250   252.23 0.2500
 -14.98   293.96 0.2250 0.2250   251.61 0.2500
 -13.65   293.67 0.2250 0.2250   251.04 0.2500
 -12.33   293.41 0.2250 0.2250   250.52 0.2500
 -11.01   293.17 0.2250 0.2250   250.04 0.2500
  -9.70   292.96 0.2250 0.2250   249.61 0.2500
  -8.40   292.77 0.2250 0.2250   249.24 0.2500
  -7.10   292.61 0.2250 0.2250   248.92 0.2500
  -5.80   292.47 0.2250 0.2250   248.65 0.2500
  -4.51   292.37 0.2250 0.2250   248.43 0.2500
  -3.22   292.29 0.2250 0.2250   248.27 0.2500
  -1.93   292.23 0.2250 0.2250   248.17 0.2500
  -0.64   292.21 0.2250 0.2250   248.11 0.2500
   0.64   292.21 0.2250 0.2250   248.11 0.2500
   1.93   292.23 0.2250 0.2250   248.17 0.2500
   3.22   292.29 0.2250 0.2250   248.27 0.2500
   4.51   292.37 0.2250 0.2250   248.43 0.2500
   5.80   292.47 0.2250 0.2250   248.65 0.2500
   7.10   292.61 0.2250 0.2250   248.92 0.2500
   8.40   292.77 0.2250 0.2250   249.24 0.2500
   9.70   292.96 0.2250 0.2250   249.61 0.2500
  11.01   293.17 0.2250 0.2250   250.04 0.2500
  12.33   293.41 0.2250 0.2250   250.52 0.2500
  13.65   293.67 0.2250 0.2250   251.04 0.2500
  14.98   293.96 0.2250 0.2250   251.61 0.2500
  16.31   294.27 0.2250 0.2250   252.23 0.2500
  17.66   294.60 0.2250 0.2250   252.90 0.2500
  19.02   294.95 0.2250 0.2250   253.61 0.2500
  20.38   295.33 0.2250 0.2250   254.36 0.2500
  21.76   295.73 0.2250 0.2250   255.16 0.2500
  23.16   296.15 0.2250 0.2250   256.01 0.2500
  24.57   296.60 0.2250 0.2250   256.89 0.2500
  25.99   297.06 0.2250 0.2250   257.82 0.2500
  27.43   297.55 0.2250 0.2250   258.80 0.2500
  28.89   298.06 0.2250 0.2250   259.82 0.2500
  30.37   298.59 0.2250 0.2250   260.88 0.2500
  31.88   299.15 0.2250 0.2250   261.99 0.2500
  33.41   299.72 0.2250 0.2250   263.14 0.2500
  34.96   300.31 0.2250 0.2250   264.33 0.2500
  36.55   300.93 0.2250 0.2250   265.55 0.2500
  38.17   301.56 0.2250 0.2250   266.81 0.2500
  39.83   302.20 0.2250 0.2250   268.11 0.2500
  41.52   302.86 0.2250 0.2250   269.43 0.2500
  43.27   303.54 0.2250 0.2250   270.78 0.2500
  45.06   304.23 0.2250 0.2250   272.16 0.2500
  46.91   304.94 0.2250 0.2250   273.57 0.2500
  48.83   305.66 0.2250 0.2250   275.01 0.2500
  50.83   306.39 0.2250 0.2250   276.48 0.2500
  52.92   307.14 0.2250 0.2250   277.98 0.2500
  55.11   307.91 0.2250 0.2250   279.52 0.2500
  57.43   308.70 0.2250 0.2250   281.09 0.2500
  59.90   309.51 0.2250 0.2250   282.72 0.2500
  62.58   310.35 0.2250 0.2250   284.40 0.2500
  65.52   311.21 0.2250 0.2250   286.13 0.2500
  68.84   312.11 0.2250 0.2250   287.91 0.2500
  72.76   313.03 0.2250 0.2250   289.76 0.2500
  77.83   314.02 0.2250 0.2250   291.73 0.2500
  90.00   315.31 0.2250 0.2250   294.33 0.2500
