# Name of benchmark/experiment: FILLET Benchmark 1
# Case number: 0
# Instellation (S_earth): 1.0
# XCO2 (ppm): 280.0
# Obliquity (degrees): 23.5
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -81.45   256.19 0.6000 0.6000   176.08 0.4100
 -75.16   258.46 0.6000 0.6000   180.62 0.4100
 -70.81   260.77 0.6000 0.6000   185.24 0.4100
 -67.25   263.12 0.6000 0.6000   189.93 0.3805
 -64.16   265.50 0.6000 0.6000   194.70 0.3196
 -61.38   267.92 0.6000 0.6000   199.53 0.2587
 -58.82   270.37 0.5096 0.5096   204.43 0.1978
 -56.44   272.81 0.4168 0.4168   209.31 0.1369
 -54.20   275.17 0.3526 0.3526   214.04 0.0761
 -52.08   277.42 0.2242 0.2242   218.55 0.0152
 -50.06   279.49 0.2244 0.2244   222.68 0.0178
 -48.11   281.40 0.2250 0.2250   226.50 0.0263
 -46.24   283.17 0.2257 0.2257   230.04 0.0348
 -44.43   284.82 0.2263 0.2263   233.34 0.0433
 -42.67   286.36 0.2270 0.2270   236.43 0.0518
 -40.96   287.81 0.2276 0.2276   239.31 0.0603
 -39.30   289.16 0.2283 0.2283   242.02 0.0688
 -37.67   290.43 0.2290 0.2290   244.56 0.0773
 -36.08   291.62 0.2299 0.2299   246.94 0.0901
 -34.52   292.74 0.2311 0.2311   249.19 0.1050
 -32.99   293.80 0.2322 0.2322   251.29 0.1199
 -31.48   294.79 0.2334 0.2334   253.27 0.1348
 -30.00   295.71 0.2345 0.2345   255.13 0.1496
 -28.54   296.58 0.2357 0.2357   256.87 0.1645
 -27.10   297.40 0.2368 0.2368   258.50 0.1794
 -25.68   298.16 0.2380 0.2380   260.03 0.1943
 -24.27   298.88 0.2391 0.2391   261.46 0.2092
 -22.89   299.54 0.2403 0.2403   262.78 0.2240
 -21.51   300.16 0.2408 0.2408   264.02 0.2305
 -20.15   300.73 0.2408 0.2408   265.16 0.2314
 -18.80   301.26 0.2409 0.2409   266.22 0.2323
 -17.46   301.74 0.2410 0.2410   267.18 0.2332
 -16.13   302.18 0.2410 0.2410   268.06 0.2341
 -14.81   302.58 0.2411 0.2411   268.86 0.2350
 -13.49   302.93 0.2412 0.2412   269.57 0.2359
 -12.19   303.25 0.2412 0.2412   270.19 0.2368
 -10.89   303.52 0.2413 0.2413   270.74 0.2376
  -9.59   303.75 0.2414 0.2414   271.20 0.2385
  -8.31   303.94 0.2414 0.2414   271.58 0.2394
  -7.02   304.09 0.2416 0.2416   271.88 0.2421
  -5.74   304.20 0.2421 0.2421   272.10 0.2481
  -4.46   304.27 0.2426 0.2426   272.24 0.2541
  -3.18   304.30 0.2430 0.2430   272.30 0.2600
  -1.91   304.29 0.2435 0.2435   272.29 0.2660
  -0.64   304.24 0.2439 0.2439   272.19 0.2720
   0.64   304.15 0.2444 0.2444   272.01 0.2780
   1.91   304.02 0.2449 0.2449   271.75 0.2840
   3.18   303.86 0.2453 0.2453   271.41 0.2900
   4.46   303.65 0.2458 0.2458   270.99 0.2959
   5.74   303.40 0.2462 0.2462   270.49 0.3019
   7.02   303.11 0.2467 0.2467   269.91 0.3079
   8.31   302.78 0.2472 0.2472   269.25 0.3146
   9.59   302.40 0.2478 0.2478   268.50 0.3217
  10.89   301.99 0.2483 0.2483   267.67 0.3288
  12.19   301.53 0.2489 0.2489   266.76 0.3360
  13.49   301.03 0.2494 0.2494   265.76 0.3431
  14.81   300.48 0.2500 0.2500   264.66 0.3502
  16.13   299.89 0.2505 0.2505   263.48 0.3573
  17.46   299.26 0.2511 0.2511   262.21 0.3644
  18.80   298.57 0.2516 0.2516   260.84 0.3715
  20.15   297.84 0.2522 0.2522   259.38 0.3786
  21.51   297.06 0.2527 0.2527   257.81 0.3857
  22.89   296.22 0.2532 0.2532   256.15 0.3928
  24.27   295.34 0.2538 0.2538   254.38 0.3997
  25.68   294.40 0.2543 0.2543   252.49 0.4067
  27.10   293.40 0.2548 0.2548   250.49 0.4136
  28.54   292.34 0.2554 0.2554   248.37 0.4206
  30.00   291.21 0.2559 0.2559   246.13 0.4275
  31.48   290.02 0.2565 0.2565   243.75 0.4344
  32.99   288.76 0.2570 0.2570   241.23 0.4414
  34.52   287.43 0.2575 0.2575   238.56 0.4483
  36.08   286.01 0.2581 0.2581   235.73 0.4553
  37.67   284.51 0.2587 0.2587   232.72 0.4635
  39.30   282.92 0.2595 0.2595   229.53 0.4744
  40.96   281.22 0.2604 0.2604   226.14 0.4854
  42.67   279.41 0.2612 0.2612   222.52 0.4963
  44.43   277.47 0.3184 0.3184   218.65 0.5072
  46.24   275.44 0.3753 0.3753   214.57 0.5181
  48.11   273.32 0.4319 0.4319   210.34 0.5291
  50.06   271.15 0.4882 0.4882   206.00 0.5400
  52.08   268.96 0.5442 0.5442   201.61 0.5490
  54.20   266.76 0.6000 0.6000   197.21 0.5369
  56.44   264.58 0.6000 0.6000   192.86 0.5249
  58.82   262.43 0.6000 0.6000   188.55 0.5128
  61.38   260.29 0.6000 0.6000   184.29 0.5007
  64.16   258.18 0.6000 0.6000   180.06 0.4887
  67.25   256.09 0.6000 0.6000   175.89 0.4512
  70.81   254.03 0.6000 0.6000   171.76 0.3484
  75.16   252.00 0.6000 0.6000   167.69 0.2456
  81.45   250.00 0.6000 0.6000   163.69 0.1700
