# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 0.8 0.0 280.0 222.61016969861188 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.92033939722381
1 0.825 0.0 280.0 224.3120592638054 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.3241185276108
2 0.85 0.0 280.0 226.01386720199957 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.72773440399922
3 0.875 0.0 280.0 227.71576805636784 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 119.1315361127357
4 0.9 0.0 280.0 229.41768623857365 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 122.53537247714733
5 0.925 0.0 280.0 231.11948690786681 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 125.93897381573368
6 0.95 0.0 280.0 282.6362195558101 90.0 46.2382573073202 90.0 46.2382573073202 -46.2382573073202 -90.0 -46.2382573073202 -90.0 0.5 228.9724391116202
7 0.975 0.0 280.0 290.25288318773397 90.0 54.2046324563124 90.0 54.2046324563124 -54.2046324563124 -90.0 -54.2046324563124 -90.0 0.5 244.20576637546802
8 1.0 0.0 280.0 296.3717830450563 90.0 61.37544904657465 90.0 61.37544904657465 -61.37544904657465 -90.0 -61.37544904657465 -90.0 0.5 256.4435660901127
9 1.025 0.0 280.0 301.2702051609109 90.0 67.25314872563517 90.0 67.25314872563517 -67.25314872563517 -90.0 -67.25314872563517 -90.0 0.5 266.24041032182186
10 1.05 0.0 280.0 305.8719170860337 90.0 75.16488841802426 90.0 75.16488841802426 -75.16488841802426 -90.0 -75.16488841802426 -90.0 0.5 275.4438341720675
11 1.075 0.0 280.0 309.6479244397077 90.0 81.45092116947839 90.0 81.45092116947839 -81.45092116947839 -90.0 -81.45092116947839 -90.0 0.5 282.99584887941546
12 1.1 0.0 280.0 312.9385913100822 90.0 81.45092116947839 90.0 81.45092116947839 -81.45092116947839 -90.0 -81.45092116947839 -90.0 0.5 289.57718262016436
13 1.125 0.0 280.0 316.531047238233 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 296.7620944764661
14 1.15 0.0 280.0 319.8284984900662 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 303.3569969801324
15 1.175 0.0 280.0 323.12578776999635 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 309.9515755399928
