# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.306122448979592 0.0 280.0 340.4201407832118 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.54028156642363
1 1.2695893671890497 0.0 280.0 335.60168258070894 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.90336516141787
2 1.2345679012345678 0.0 280.0 330.9825146723988 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.6650293447975
3 1.2009757928316758 0.0 280.0 326.5518792202559 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.80375844051173
4 1.168736303871439 0.0 280.0 322.2996590460986 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.2993180921972
5 1.1377777777777778 0.0 280.0 318.21640860317797 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.132817206356
6 1.10803324099723 0.0 280.0 314.2933018221927 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.28660364438537
7 1.0794400404790014 0.0 280.0 310.2323128654679 90.0 81.45092116947839 90.0 81.45092116947839 -81.45092116947839 -90.0 -81.45092116947839 -90.0 0.5 284.1646257309359
8 1.0519395134779752 0.0 280.0 306.1263441811211 90.0 75.16488841802426 90.0 75.16488841802426 -75.16488841802426 -90.0 -75.16488841802426 -90.0 0.5 275.95268836224227
9 1.0254766864284568 0.0 280.0 301.3321342557665 90.0 67.25314872563517 90.0 67.25314872563517 -67.25314872563517 -90.0 -67.25314872563517 -90.0 0.5 266.36426851153317
10 1.0 0.0 280.0 296.3717830450563 90.0 61.37544904657465 90.0 61.37544904657465 -61.37544904657465 -90.0 -61.37544904657465 -90.0 0.5 256.4435660901127
11 0.9754610577655846 0.0 280.0 290.310594567294 90.0 54.2046324563124 90.0 54.2046324563124 -54.2046324563124 -90.0 -54.2046324563124 -90.0 0.5 244.32118913458802
12 0.9518143961927424 0.0 280.0 282.8548469845061 90.0 46.2382573073202 90.0 46.2382573073202 -46.2382573073202 -90.0 -46.2382573073202 -90.0 0.5 229.40969396901215
13 0.9290172739149366 0.0 280.0 231.39296851415742 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 126.4859370283149
14 0.9070294784580498 0.0 280.0 229.8961395976284 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.49227919525688
15 0.8858131487889274 0.0 280.0 228.45192310156858 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.60384620313721
16 0.8653326122228233 0.0 280.0 227.05771754356107 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.81543508712217
17 0.8455542343770645 0.0 280.0 225.71124820165568 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.12249640331142
18 0.8264462809917354 0.0 280.0 224.41052920021644 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.52105840043296
19 1.306122448979592 10.0 280.0 340.36746912478975 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.43493824957955
20 1.2695893671890497 10.0 280.0 335.5504841823221 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.80096836464423
21 1.2345679012345678 10.0 280.0 330.93272872211804 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.56545744423613
22 1.2009757928316758 10.0 280.0 326.5034481015241 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.70689620304825
23 1.168736303871439 10.0 280.0 322.25252824211884 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.20505648423773
24 1.1377777777777778 10.0 280.0 318.1705264930282 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.0410529860565
25 1.10803324099723 10.0 280.0 314.2486194932234 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.1972389864468
26 1.0794400404790014 10.0 280.0 310.1585580911511 90.0 81.45092116947839 90.0 81.45092116947839 -81.45092116947839 -90.0 -81.45092116947839 -90.0 0.5 284.01711618230223
27 1.0519395134779752 10.0 280.0 305.92526603735575 90.0 75.16488841802426 90.0 75.16488841802426 -75.16488841802426 -90.0 -75.16488841802426 -90.0 0.5 275.55053207471167
28 1.0254766864284568 10.0 280.0 301.07566263016173 90.0 67.25314872563517 90.0 67.25314872563517 -67.25314872563517 -90.0 -67.25314872563517 -90.0 0.5 265.8513252603235
29 1.0 10.0 280.0 295.13915719474517 90.0 58.821164461344075 90.0 58.821164461344075 -58.821164461344075 -90.0 -58.821164461344075 -90.0 0.5 253.9783143894905
30 0.9754610577655846 10.0 280.0 288.9153438139789 90.0 52.081797343554456 90.0 52.081797343554456 -52.081797343554456 -90.0 -52.081797343554456 -90.0 0.5 241.53068762795786
31 0.9518143961927424 10.0 280.0 280.05390074825874 90.0 42.670233871257594 90.0 42.670233871257594 -42.670233871257594 -90.0 -42.670233871257594 -90.0 0.5 223.80780149651753
32 0.9290172739149366 10.0 280.0 231.37368302239213 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 126.44736604478427
33 0.9070294784580498 10.0 280.0 229.87731076907502 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 123.45462153815009
34 0.8858131487889274 10.0 280.0 228.43348247466372 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 120.56696494932744
35 0.8653326122228233 10.0 280.0 227.03965160001792 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 117.77930320003591
36 0.8455542343770645 10.0 280.0 225.6937030872879 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.08740617457585
37 0.8264462809917354 10.0 280.0 224.39330328983942 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 112.4866065796789
38 1.306122448979592 20.0 280.0 340.3685246447824 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.43704928956487
39 1.2695893671890497 20.0 280.0 335.5515101787442 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.8030203574884
40 1.2345679012345678 20.0 280.0 330.93372641362396 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 325.5674528272479
41 1.2009757928316758 20.0 280.0 326.50441864272864 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 316.70883728545726
42 1.168736303871439 20.0 280.0 322.25347272551915 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.2069454510384
43 1.1377777777777778 20.0 280.0 318.1714459530896 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 300.04289190617914
44 1.10803324099723 20.0 280.0 314.24951491013854 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 292.1990298202771
45 1.0794400404790014 20.0 280.0 310.47935421643916 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 284.65870843287837
46 1.0519395134779752 20.0 280.0 306.8532061079779 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 277.4064122159558
47 1.0254766864284568 20.0 280.0 301.54135863127294 90.0 75.16488841802426 90.0 75.16488841802426 -75.16488841802426 -90.0 -75.16488841802426 -90.0 0.5 266.782717262546
48 1.0 20.0 280.0 295.7203968823646 90.0 61.37544904657465 90.0 61.37544904657465 -61.37544904657465 -90.0 -61.37544904657465 -90.0 0.5 255.14079376472927
49 0.9754610577655846 20.0 280.0 287.4299987997081 90.0 52.081797343554456 90.0 52.081797343554456 -52.081797343554456 -90.0 -52.081797343554456 -90.0 0.5 238.5599975994161
