# Name of benchmark/experiment: FILLET Experiment 1a (warm start, au)
# Case number: 42
# Instellation (S_earth): 1.168736
# XCO2 (ppm): 280.0
# Obliquity (degrees): 20.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -81.45   290.06 0.2250 0.2250   243.81 0.2500
 -75.16   292.40 0.2250 0.2250   248.51 0.2500
 -70.81   294.71 0.2250 0.2250   253.12 0.2500
 -67.25   296.97 0.2250 0.2250   257.64 0.2500
 -64.16   299.16 0.2250 0.2250   262.03 0.2500
 -61.38   301.28 0.2250 0.2250   266.26 0.2500
 -58.82   303.32 0.2250 0.2250   270.34 0.2500
 -56.44   305.28 0.2250 0.2250   274.27 0.2500
 -54.20   307.17 0.2250 0.2250   278.04 0.2500
 -52.08   308.98 0.2250 0.2250   281.66 0.2500
 -50.06   310.72 0.2250 0.2250   285.14 0.2500
 -48.11   312.39 0.2250 0.2250   288.47 0.2500
 -46.24   313.99 0.2250 0.2250   291.68 0.2500
 -44.43   315.52 0.2250 0.2250   294.75 0.2500
 -42.67   317.00 0.2250 0.2250   297.69 0.2500
 -40.96   318.41 0.2250 0.2250   300.51 0.2500
 -39.30   319.76 0.2250 0.2250   303.21 0.2500
 -37.67   321.05 0.2250 0.2250   305.80 0.2500
 -36.08   322.28 0.2250 0.2250   308.27 0.2500
 -34.52   323.46 0.2250 0.2250   310.63 0.2500
 -32.99   324.59 0.2250 0.2250   312.88 0.2500
 -31.48   325.66 0.2250 0.2250   315.03 0.2500
 -30.00   326.69 0.2250 0.2250   317.07 0.2500
 -28.54   327.66 0.2250 0.2250   319.01 0.2500
 -27.10   328.58 0.2250 0.2250   320.86 0.2500
 -25.68   329.45 0.2250 0.2250   322.60 0.2500
 -24.27   330.28 0.2250 0.2250   324.25 0.2500
 -22.89   331.05 0.2250 0.2250   325.80 0.2500
 -21.51   331.78 0.2250 0.2250   327.27 0.2500
 -20.15   332.47 0.2250 0.2250   328.63 0.2500
 -18.80   333.11 0.2250 0.2250   329.91 0.2500
 -17.46   333.70 0.2250 0.2250   331.10 0.2500
 -16.13   334.25 0.2250 0.2250   332.20 0.2500
 -14.81   334.76 0.2250 0.2250   333.21 0.2500
 -13.49   335.22 0.2250 0.2250   334.14 0.2500
 -12.19   335.64 0.2250 0.2250   334.98 0.2500
 -10.89   336.01 0.2250 0.2250   335.73 0.2500
  -9.59   336.35 0.2250 0.2250   336.40 0.2500
  -8.31   336.64 0.2250 0.2250   336.98 0.2500
  -7.02   336.89 0.2250 0.2250   337.48 0.2500
  -5.74   337.10 0.2250 0.2250   337.90 0.2500
  -4.46   337.26 0.2250 0.2250   338.23 0.2500
  -3.18   337.39 0.2250 0.2250   338.48 0.2500
  -1.91   337.47 0.2250 0.2250   338.64 0.2500
  -0.64   337.51 0.2250 0.2250   338.72 0.2500
   0.64   337.51 0.2250 0.2250   338.72 0.2500
   1.91   337.47 0.2250 0.2250   338.64 0.2500
   3.18   337.39 0.2250 0.2250   338.48 0.2500
   4.46   337.26 0.2250 0.2250   338.23 0.2500
   5.74   337.10 0.2250 0.2250   337.90 0.2500
   7.02   336.89 0.2250 0.2250   337.48 0.2500
   8.31   336.64 0.2250 0.2250   336.98 0.2500
   9.59   336.35 0.2250 0.2250   336.40 0.2500
  10.89   336.01 0.2250 0.2250   335.73 0.2500
  12.19   335.64 0.2250 0.2250   334.98 0.2500
  13.49   335.22 0.2250 0.2250   334.14 0.2500
  14.81   334.76 0.2250 0.2250   333.21 0.2500
  16.13   334.25 0.2250 0.2250   332.20 0.2500
  17.46   333.70 0.2250 0.2250   331.10 0.2500
  18.80   333.11 0.2250 0.2250   329.91 0.2500
  20.15   332.47 0.2250 0.2250   328.63 0.2500
  21.51   331.78 0.2250 0.2250   327.27 0.2500
  22.89   331.05 0.2250 0.2250   325.80 0.2500
  24.27   330.28 0.2250 0.2250   324.25 0.2500
  25.68   329.45 0.2250 0.2250   322.60 0.2500
  27.10   328.58 0.2250 0.2250   320.86 0.2500
  28.54   327.66 0.2250 0.2250   319.01 0.2500
  30.00   326.69 0.2250 0.2250   317.07 0.2500
  31.48   325.66 0.2250 0.2250   315.03 0.2500
  32.99   324.59 0.2250 0.2250   312.88 0.2500
  34.52   323.46 0.2250 0.2250   310.63 0.2500
  36.08   322.28 0.2250 0.2250   308.27 0.2500
  37.67   321.05 0.2250 0.2250   305.80 0.2500
  39.30   319.76 0.2250 0.2250   303.21 0.2500
  40.96   318.41 0.2250 0.2250   300.51 0.2500
  42.67   317.00 0.2250 0.2250   297.69 0.2500
  44.43   315.52 0.2250 0.2250   294.75 0.2500
  46.24   313.99 0.2250 0.2250   291.68 0.2500
  48.11   312.39 0.2250 0.2250   288.47 0.2500
  50.06   310.72 0.2250 0.2250   285.14 0.2500
  52.08   308.98 0.2250 0.2250   281.66 0.2500
  54.20   307.17 0.2250 0.2250   278.04 0.2500
  56.44   305.28 0.2250 0.2250   274.27 0.2500
  58.82   303.32 0.2250 0.2250   270.34 0.2500
  61.38   301.28 0.2250 0.2250   266.26 0.2500
  64.16   299.16 0.2250 0.2250   262.03 0.2500
  67.25   296.97 0.2250 0.2250   257.64 0.2500
  70.81   294.71 0.2250 0.2250   253.12 0.2500
  75.16   292.40 0.2250 0.2250   248.51 0.2500
  81.45   290.06 0.2250 0.2250   243.81 0.2500
