# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.05 0.0 280.0 239.62793328460464 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.9558665692093
1 1.075 0.0 280.0 241.32984946727655 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.35969893455314
2 1.1 0.0 280.0 243.03167619240176 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.7633523848036
3 1.125 0.0 280.0 244.73359821031198 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.16719642062398
4 1.15 0.0 280.0 246.43543244912993 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.57086489825994
5 1.175 0.0 280.0 248.1373564062668 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.97471281253368
6 1.2 0.0 280.0 249.83919675562535 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.3783935112508
7 1.225 0.0 280.0 251.54103710498387 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.78207420996782
8 1.25 0.0 280.0 253.24287745434242 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.18575490868488
9 1.275 0.0 280.0 254.94481064516802 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.58962129033608
10 1.3 0.0 280.0 256.64665596394804 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.99331192789617
11 1.325 0.0 280.0 258.34850128272814 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.39700256545632
12 1.35 0.0 280.0 260.0503466015082 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.80069320301632
13 1.375 0.0 280.0 261.7522835895895 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 187.204567179179
14 1.4 0.0 280.0 352.8021399011783 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.3042798023565
15 1.425 0.0 280.0 356.0994883045836 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.8989766091673
16 1.45 0.0 280.0 359.3968452278078 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.4936904556156
17 1.475 0.0 280.0 362.69423514973687 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.0884702994738
18 1.5 0.0 280.0 365.99159221736556 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.6831844347314
19 1.05 10.0 280.0 239.6060791545182 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.9121583090364
20 1.075 10.0 280.0 241.30747487826136 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.3149497565228
21 1.1 10.0 280.0 243.0087812641072 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.7175625282145
22 1.125 10.0 280.0 244.71018283848238 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.12036567696484
23 1.15 10.0 280.0 246.41149673570413 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.52299347140828
24 1.175 10.0 280.0 248.11290026269023 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92580052538048
25 1.2 10.0 280.0 249.8142202685684 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32844053713688
26 1.225 10.0 280.0 251.51554027444658 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.7310805488932
27 1.25 10.0 280.0 253.21686028032474 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.13372056064955
28 1.275 10.0 280.0 254.91827304952352 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53654609904706
