# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.5624999999999996 0.0 280.0 374.235044156463 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.17008831292605
1 1.5147928994082842 0.0 280.0 367.94273240252363 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.5854648050475
2 1.4692378328741966 0.0 280.0 361.9342137432164 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.5684274864327
3 1.4257072844731566 0.0 280.0 356.19278313427395 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.08556626854795
4 1.384083044982699 0.0 280.0 350.70277154379437 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.10554308758884
5 1.3442554085276202 0.0 280.0 259.6592903572852 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.01858071457048
6 1.306122448979592 0.0 280.0 257.0634344093636 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.82686881872723
7 1.2695893671890497 0.0 280.0 254.57648824032987 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.85297648065978
8 1.2345679012345678 0.0 280.0 252.1923587201705 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.084717440341
9 1.2009757928316758 0.0 280.0 249.90562250016777 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.5112450003356
10 1.168736303871439 0.0 280.0 247.7108757866224 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.12175157324486
11 1.1377777777777778 0.0 280.0 245.60342459904115 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.90684919808237
12 1.10803324099723 0.0 280.0 243.5786137546045 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.85722750920908
13 1.0794400404790014 0.0 280.0 241.6320966491886 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.9641932983773
14 1.0519395134779752 0.0 280.0 239.7600513769736 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.22010275394726
