# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
0 1.5 23.5 280.0 365.9344672415671 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5689344831342 cooling
1 1.4875 23.5 280.0 364.2870678215835 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 392.27413564316714 cooling
2 1.475 23.5 280.0 362.6388605340686 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.97772106813716 cooling
3 1.4625 23.5 280.0 360.99065306097475 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 385.68130612194955 cooling
4 1.45 23.5 280.0 359.3424455878384 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.3848911756768 cooling
5 1.4375 23.5 280.0 357.69423811470193 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 379.0884762294039 cooling
6 1.425 23.5 280.0 356.04603064156544 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.792061283131 cooling
7 1.4125 23.5 280.0 354.39782316842906 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 372.4956463368582 cooling
8 1.4 23.5 280.0 352.7496156952926 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.1992313905853 cooling
9 1.3875 23.5 280.0 351.10140822215624 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 365.9028164443125 cooling
10 1.375 23.5 280.0 349.45320074901974 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.60640149803965 cooling
11 1.3625 23.5 280.0 347.80499327588336 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 359.30998655176677 cooling
12 1.35 23.5 280.0 346.1567858027469 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.0135716054939 cooling
13 1.3375 23.5 280.0 344.5085783296105 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 352.7171566592211 cooling
14 1.325 23.5 280.0 342.8603708564741 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 349.42074171294826 cooling
15 1.3125 23.5 280.0 341.2121633833376 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 346.1243267666753 cooling
16 1.3 23.5 280.0 339.56395591020123 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 342.8279118204025 cooling
