# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Case number: 15
# Branch: cooling
# Instellation (S_earth): 1.3125
# XCO2 (ppm): 280.0
# Obliquity (degrees): 23.5
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -81.45   308.45 0.2250 0.2250   280.61 0.2500
 -75.16   310.70 0.2250 0.2250   285.10 0.2500
 -70.81   312.93 0.2250 0.2250   289.56 0.2500
 -67.25   315.13 0.2250 0.2250   293.96 0.2500
 -64.16   317.30 0.2250 0.2250   298.29 0.2500
 -61.38   319.41 0.2250 0.2250   302.53 0.2500
 -58.82   321.47 0.2250 0.2250   306.64 0.2500
 -56.44   323.46 0.2250 0.2250   310.63 0.2500
 -54.20   325.39 0.2250 0.2250   314.48 0.2500
 -52.08   327.25 0.2250 0.2250   318.19 0.2500
 -50.06   329.04 0.2250 0.2250   321.78 0.2500
 -48.11   330.76 0.2250 0.2250   325.23 0.2500
 -46.24   332.42 0.2250 0.2250   328.55 0.2500
 -44.43   334.02 0.2250 0.2250   331.74 0.2500
 -42.67   335.55 0.2250 0.2250   334.81 0.2500
 -40.96   337.03 0.2250 0.2250   337.75 0.2500
 -39.30   338.44 0.2250 0.2250   340.58 0.2500
 -37.67   339.79 0.2250 0.2250   343.29 0.2500
 -36.08   341.09 0.2250 0.2250   345.88 0.2500
 -34.52   342.33 0.2250 0.2250   348.36 0.2500
 -32.99   343.51 0.2250 0.2250   350.73 0.2500
 -31.48   344.64 0.2250 0.2250   352.99 0.2500
 -30.00   345.72 0.2250 0.2250   355.14 0.2500
 -28.54   346.74 0.2250 0.2250   357.19 0.2500
 -27.10   347.72 0.2250 0.2250   359.13 0.2500
 -25.68   348.64 0.2250 0.2250   360.97 0.2500
 -24.27   349.51 0.2250 0.2250   362.72 0.2500
 -22.89   350.33 0.2250 0.2250   364.36 0.2500
 -21.51   351.10 0.2250 0.2250   365.91 0.2500
 -20.15   351.83 0.2250 0.2250   367.35 0.2500
 -18.80   352.50 0.2250 0.2250   368.71 0.2500
 -17.46   353.13 0.2250 0.2250   369.97 0.2500
 -16.13   353.72 0.2250 0.2250   371.13 0.2500
 -14.81   354.25 0.2250 0.2250   372.21 0.2500
 -13.49   354.74 0.2250 0.2250   373.19 0.2500
 -12.19   355.19 0.2250 0.2250   374.08 0.2500
 -10.89   355.59 0.2250 0.2250   374.87 0.2500
  -9.59   355.94 0.2250 0.2250   375.58 0.2500
  -8.31   356.25 0.2250 0.2250   376.20 0.2500
  -7.02   356.52 0.2250 0.2250   376.73 0.2500
  -5.74   356.74 0.2250 0.2250   377.17 0.2500
  -4.46   356.91 0.2250 0.2250   377.53 0.2500
  -3.18   357.05 0.2250 0.2250   377.79 0.2500
  -1.91   357.13 0.2250 0.2250   377.97 0.2500
  -0.64   357.18 0.2250 0.2250   378.05 0.2500
   0.64   357.18 0.2250 0.2250   378.05 0.2500
   1.91   357.13 0.2250 0.2250   377.97 0.2500
   3.18   357.05 0.2250 0.2250   377.79 0.2500
   4.46   356.91 0.2250 0.2250   377.53 0.2500
   5.74   356.74 0.2250 0.2250   377.17 0.2500
   7.02   356.52 0.2250 0.2250   376.73 0.2500
   8.31   356.25 0.2250 0.2250   376.20 0.2500
   9.59   355.94 0.2250 0.2250   375.58 0.2500
  10.89   355.59 0.2250 0.2250   374.87 0.2500
  12.19   355.19 0.2250 0.2250   374.08 0.2500
  13.49   354.74 0.2250 0.2250   373.19 0.2500
  14.81   354.25 0.2250 0.2250   372.21 0.2500
  16.13   353.72 0.2250 0.2250   371.13 0.2500
  17.46   353.13 0.2250 0.2250   369.97 0.2500
  18.80   352.50 0.2250 0.2250   368.71 0.2500
  20.15   351.83 0.2250 0.2250   367.35 0.2500
  21.51   351.10 0.2250 0.2250   365.91 0.2500
  22.89   350.33 0.2250 0.2250   364.36 0.2500
  24.27   349.51 0.2250 0.2250   362.72 0.2500
  25.68   348.64 0.2250 0.2250   360.97 0.2500
  27.10   347.72 0.2250 0.2250   359.13 0.2500
  28.54   346.74 0.2250 0.2250   357.19 0.2500
  30.00   345.72 0.2250 0.2250   355.14 0.2500
  31.48   344.64 0.2250 0.2250   352.99 0.2500
  32.99   343.51 0.2250 0.2250   350.73 0.2500
  34.52   342.33 0.2250 0.2250   348.36 0.2500
  36.08   341.09 0.2250 0.2250   345.88 0.2500
  37.67   339.79 0.2250 0.2250   343.29 0.2500
  39.30   338.44 0.2250 0.2250   340.58 0.2500
  40.96   337.03 0.2250 0.2250   337.75 0.2500
  42.67   335.55 0.2250 0.2250   334.81 0.2500
  44.43   334.02 0.2250 0.2250   331.74 0.2500
  46.24   332.42 0.2250 0.2250   328.55 0.2500
  48.11   330.76 0.2250 0.2250   325.23 0.2500
  50.06   329.04 0.2250 0.2250   321.78 0.2500
  52.08   327.25 0.2250 0.2250   318.19 0.2500
  54.20   325.39 0.2250 0.2250   314.48 0.2500
  56.44   323.46 0.2250 0.2250   310.63 0.2500
  58.82   321.47 0.2250 0.2250   306.64 0.2500
  61.38   319.41 0.2250 0.2250   302.53 0.2500
  64.16   317.30 0.2250 0.2250   298.29 0.2500
  67.25   315.13 0.2250 0.2250   293.96 0.2500
  70.81   312.93 0.2250 0.2250   289.56 0.2500
  75.16   310.70 0.2250 0.2250   285.10 0.2500
  81.45   308.45 0.2250 0.2250   280.61 0.2500
