# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
0 1.0 23.5 100000.0 315.7301615153802 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7122961701251 cooling
1 1.0 23.5 79060.43210907701 315.102429456367 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138555467435 cooling
2 1.0 23.5 62505.51925273976 314.47391811849786 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563656499 cooling
3 1.0 23.5 49417.13361323838 313.84540637139065 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563660802 cooling
4 1.0 23.5 39069.39937054621 313.2168946240684 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563660805 cooling
5 1.0 23.5 30888.435964774784 312.58838287674604 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.71385636608045 cooling
6 1.0 23.5 24420.5309454865 311.95987112942385 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563660808 cooling
7 1.0 23.5 19306.977288832495 311.3313593821013 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.71385636608034 cooling
8 1.0 23.5 15264.179671752334 310.70284763477906 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563660806 cooling
9 1.0 23.5 12067.92640639329 310.0743358874566 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 263.7138563660804 cooling
